UNIT,ASSESSMENT,QUESTION #,STANDARDS ALIGNMENT
4,SUB UNIT 3 QUIZ,5,1.NBT.3
4,END UNIT ASSESSMENT,1,"1.NBT.1, 1.NBT.2"
4,END UNIT ASSESSMENT,2,"1.NBT.1, 1.NBT.2"
4,END UNIT ASSESSMENT,3,"1.NBT.1, 1.NBT.2"
4,END UNIT ASSESSMENT,4,"1.NBT.1, 1.NBT.2"
4,END UNIT ASSESSMENT,5,1.NBT.2
4,END UNIT ASSESSMENT,6,1.NBT.5
4,END UNIT ASSESSMENT,7,1.NBT.4
4,END UNIT ASSESSMENT,8,1.NBT.6
4,END UNIT ASSESSMENT,9,1.NBT.3
4,END UNIT ASSESSMENT,10,1.NBT.3
4,END UNIT ASSESSMENT,11,1.NBT.3
4,END UNIT ASSESSMENT,12,1.NBT.3
4,END UNIT ASSESSMENT,13,1.NBT.2
5,PRE-UNIT CHECK ,1,1.OA.6
5,PRE-UNIT CHECK ,2,1.NBT.5
5,PRE-UNIT CHECK ,3,1.NBT.4
5,SUB UNIT 1 QUIZ ,1,"1.NBT.4, 1.OA.8"
5,SUB UNIT 1 QUIZ ,2,"1.NBT.4, 1.OA.8"
5,SUB UNIT 1 QUIZ ,3,"1.NBT.4, 1.OA.8"
5,SUB UNIT 1 QUIZ ,4,"1.NBT.4, 1.OA.8"
5,SUB UNIT 2 QUIZ ,1,"1.NBT.4, 1.OA.8"
5,SUB UNIT 2 QUIZ ,2,"1.NBT.4, 1.OA.8"
5,SUB UNIT 2 QUIZ ,3,"1.NBT.4, 1.OA.8"
5,SUB UNIT 2 QUIZ ,4,"1.NBT.4, 1.OA.8"
5,SUB UNIT 2 QUIZ ,5,1.NBT.4
5,END UNIT ASSESSMENT,1,"1.NBT.4, 1.OA.8"
5,END UNIT ASSESSMENT,2,"1.NBT.4, 1.OA.8"
5,END UNIT ASSESSMENT,3,"1.NBT.4, 1.OA.8"
5,END UNIT ASSESSMENT,4,"1.NBT.4, 1.OA.8"
5,END UNIT ASSESSMENT,5,"1.NBT.4, 1.MD.4"
5,END UNIT ASSESSMENT,6,1.NBT.4
6,PRE-UNIT CHECK ,1,K.MD.2
6,PRE-UNIT CHECK ,2,K.MD.2
6,SUB UNIT 1 QUIZ ,1,1.MD.1
6,SUB UNIT 1 QUIZ ,2,1.MD.1
6,SUB UNIT 1 QUIZ ,3,1.MD.2
6,SUB UNIT 1 QUIZ ,4,1.MD.2
6,SUB UNIT 2 QUIZ ,1,1.NBT.1
6,SUB UNIT 2 QUIZ ,2,"1.MD.2, 1.NBT.1"
6,END UNIT ASSESSMENT,1,1.MD.1
6,END UNIT ASSESSMENT,2,1.MD.2
6,END UNIT ASSESSMENT,3,"1.OA.6, 1.OA.8"
6,END UNIT ASSESSMENT,4,"1.OA.4, 1.OA.6, 1.OA.8"
6,END UNIT ASSESSMENT,5,"1.MD.4, 1.OA.1, 1.OA.6"
6,END UNIT ASSESSMENT,6,"1.OA.1, 1.OA.4, 1.OA.4"
6,END UNIT ASSESSMENT,7,"1.NBT.1, 1.MD.2"
6,END UNIT ASSESSMENT,8,"1.OA.1, 1.OA.6"
7,PRE-UNIT CHECK ,1,K.G.1
7,PRE-UNIT CHECK ,2,K.G.2
7,SUB UNIT 1 QUIZ ,1,1.G.1
7,SUB UNIT 1 QUIZ ,2,"1.G.1, 1.G.2"
7,SUB UNIT 1 QUIZ ,3,1.G.1
7,SUB UNIT 2 QUIZ ,1,1.G.3
7,SUB UNIT 2 QUIZ ,2,1.G.3
7,SUB UNIT 2 QUIZ ,3,1.G.3
7,SUB UNIT 2 QUIZ ,4,1.G.3
7,SUB UNIT 2 QUIZ ,5,1.G.3
7,END UNIT ASSESSMENT,1,1.G.1
7,END UNIT ASSESSMENT,2,"1.G.1, 1.G.2"
7,END UNIT ASSESSMENT,3,1.G.3
7,END UNIT ASSESSMENT,4,1.G.3
7,END UNIT ASSESSMENT,5,1.MD.3
7,END UNIT ASSESSMENT,6,1.G.3
7,END UNIT ASSESSMENT,7,1.MD.3
7,END UNIT ASSESSMENT,8,1.MD.3
